firma,2019,2018,2017,2016
GlaxoSmithKline,73941.2,76252.4,72985.0,78763.0
TIAA,568190.2,583631.7,523194.0,517963.0
Accenture,24449.1,22689.9,20609.0,18266.0
Magna International,25945.0,25393.0,22566.0,19706.0
Mitsubishi Electric,39362.2,40106.8,37519.0,36127.0
Cedar Holdings Group,20932.8,20737.8,-,-
Louis Dreyfus,18440.0,20394.0,19843.0,18592.0
Rio Tinto Group,90949.0,95726.0,89263.0,91564.0
Edeka Zentrale,8322.9,8863.8,6921.0,6791.0
Caixa Econômica Federal,326182.5,-,-,-
Tyson Foods,29109.0,28066.0,22373.0,23004.0
Oracle,137264.0,134991.0,112180.0,110903.0
Allstate,112249.0,112422.0,108610.0,104656.0
World Fuel Services,5676.9,5587.8,5413.0,4549.0
ING Group,1011101.2,1013302.1,888226.0,910078.0
Centrica,26177.3,27952.4,27046.0,27794.0
Midea Group,38408.5,38099.9,24549.0,19841.0
Fresenius,64811.5,63800.4,48984.0,46891.0
Massachusetts Mutual Life Insurance,265812.6,288854.8,271040.0,-
Intesa Sanpaolo,900365.1,-,-,-
LyondellBasell Industries,28278.0,-,-,-
TJX,14326.0,-,-,-
Yankuang Group,44774.8,44190.7,-,-
ConocoPhillips,69980.0,73362.0,89772.0,97484.0
Barclays,1443122.6,1532658.9,1498612.0,1650561.0
J. Sainsbury,30669.2,30856.9,24674.0,24392.0
China Aerospace Science &amp; Industry,47048.1,44273.7,36999.0,36732.0
China Aerospace Science &amp; Technology,63496.8,63057.5,55721.0,55006.0
Meiji Yasuda Life Insurance,380597.4,390702.8,362739.0,348499.0
George Weston,32084.1,30730.4,28299.0,27217.0
SNCF Mobilités,48482.6,47827.8,39993.0,40861.0
Daiwa House Industry,39161.8,37950.5,31917.0,28989.0
ABB,44441.0,43262.0,39499.0,41356.0
Deere,70108.0,65786.3,57981.0,57948.0
Tech Data,12986.6,12652.6,7932.0,6358.0
Power Corp. of Canada,331211.9,355620.2,315387.0,304456.0
Swiss Re,207570.0,222526.0,215065.0,196135.0
Suning.com Group,29052.7,-,19738.0,-
Mitsubishi Heavy Industries,46469.0,51609.6,49205.0,48868.0
SK Hynix,57056.9,42431.3,-,-
Vale,88190.0,99184.0,99014.0,88492.0
Enterprise Products Partners,56969.8,54418.1,52194.0,48952.0
XMXYG,16891.8,14081.5,-,-
Aisin Seiki,33901.5,33178.9,29964.0,25492.0
Jiangsu Shagang Group,33173.7,26829.1,23720.0,25068.0
Nike,22536.0,23259.0,21396.0,21600.0
Publix Super Markets,18982.5,18183.5,17464.0,16359.0
General Dynamics,45408.0,35046.0,32872.0,31997.0
Exelon,119666.0,116700.0,114904.0,95384.0
Canon,44662.4,46153.7,44062.0,36812.0
Enbridge,122221.0,129384.6,64011.0,60958.0
Jizhong Energy Group,33772.3,35380.7,30819.0,31673.0
E.ON,62092.3,67183.0,67179.0,123493.0
Fujitsu,28055.0,29356.9,28646.0,28709.0
Mizuho Financial Group,1814332.9,1928226.3,1799736.0,1721468.0
Mitsubishi Chemical Holdings,50352.5,44207.6,40064.0,36141.0
CK Hutchison Holdings,157392.8,140751.6,130721.0,133285.0
Lloyds Banking Group,1015661.3,1098335.1,1010245.0,1188816.0
Idemitsu Kosan,26116.4,27464.2,23711.0,21375.0
Poste Italiane,238753.3,243359.8,203760.0,190993.0
JFE Holdings,42551.7,41953.4,38920.0,37684.0
Suzuki Motor,30739.8,31419.4,27969.0,24044.0
Jiangxi Copper,18618.3,18888.8,16108.0,17195.0
CRRC Group,58038.3,-,-,-
Credit Suisse Group,780308.5,817293.4,806950.0,820231.0
Tsingshan Holding Group,8522.6,-,-,-
State Power Investment,157347.6,154358.3,126068.0,119163.0
Taiwan Semiconductor Manufacturing,67999.5,66949.0,58535.0,50467.0
China Energy Engineering Group,57758.7,54635.0,44181.0,41840.0
Quanta Computer,21455.9,20617.7,18229.0,16186.0
Plains GP Holdings,26830.0,26753.0,-,24142.0
China South Industries Group,48455.2,56394.7,51857.0,60348.0
Yango Longking Group,51585.3,-,24231.0,-
Jinchuan Group,16925.3,-,-,-
China Electronics Technology Group,51672.9,46790.3,35898.0,33981.0
Toshiba,38830.3,41928.1,-,48348.0
Prudential,647708.5,668029.5,581221.0,570300.0
Commonwealth Bank of Australia,720354.4,748753.1,694565.0,671156.0
Bridgestone,35220.6,35150.8,31901.0,31558.0
China Electronics,40323.2,40399.7,36575.0,38158.0
GS Caltex,17531.2,18762.9,15969.0,16164.0
Sompo Holdings,108595.4,112370.2,107092.0,-
Sumitomo Life Insurance,341659.6,338911.3,308346.0,282942.0
Schlumberger,70507.0,71987.0,77956.0,68005.0
3M,36500.0,37987.0,32906.0,32718.0
AbbVie,59352.0,70786.0,66099.0,53050.0
Chubb,167771.0,167022.0,159786.0,-
CHS,16381.2,15973.8,17318.0,15228.0
British American Tobacco,186351.9,190746.6,-,-
Ansteel Group,49469.6,54643.1,-,-
China Huadian,118796.5,122354.9,112115.0,117240.0
Capital One Financial,372538.0,365693.0,357033.0,334048.0
AIA Group,229806.0,215691.0,185074.0,167622.0
Mazda Motor,25942.2,25656.8,22660.0,22677.0
Compal Electronics,13007.4,12213.7,10769.0,9985.0
Progressive,46575.0,38701.2,33428.0,-
DZ Bank,592911.8,607101.3,537278.0,443540.0
Hyundai Mobis,38604.6,38991.8,34541.0,32223.0
CPC,25035.7,25043.6,-,22593.0
Coca-Cola,83216.0,87896.0,87270.0,90093.0
L'Oréal,43956.9,42434.1,37577.0,36617.0
CRH,40202.7,37983.9,33320.0,34766.0
Bank of Nova Scotia,760409.0,710119.5,668805.0,654714.0
Johnson Controls International,48797.0,51884.0,63253.0,-
USAA,158506.8,155390.5,147290.0,137077.0
Air France-KLM Group,33212.2,29308.4,24185.0,25347.0
Shougang Group,73067.1,76956.8,-,67291.0
Compass Group,16443.5,14727.0,13693.0,13247.0
Hewlett Packard Enterprise,55493.0,61406.0,79679.0,-
BT Group,60302.7,59970.5,52972.0,61209.0
Inditex,24878.1,25200.5,21203.0,18779.0
Veolia Environnement,42968.6,46000.4,40022.0,38982.0
Abbott Laboratories,67173.0,76250.0,-,-
Micron Technology,43376.0,-,-,-
PKN ORLEN Group,17079.2,17462.3,-,-
Schneider Electric,48302.0,47849.4,-,46247.0
Phoenix Pharma,9599.5,-,9292.0,8409.0
Travelers Cos.,104233.0,103483.0,100245.0,100184.0
Gree Electrical Appliances,36592.7,-,-,-
Coop Group,20665.7,19995.9,18369.0,17642.0
Northrop Grumman,37653.0,34917.0,25614.0,24454.0
Suncor Energy,65596.8,71435.2,-,55819.0
Manulife Financial,549407.6,582322.0,537461.0,507339.0
Medtronic,91393.0,99816.0,99782.0,-
