firma,2019,2018,2017,2016
China Energy Engineering Group,432.6,371.7,421.0,540.0
Quanta Computer,501.5,472.2,469.3,562.0
Plains GP Holdings,334.0,-731.0,-,118.0
China South Industries Group,268.1,739.6,580.3,1488.0
Yango Longking Group,613.6,-,159.2,-
Jinchuan Group,234.0,-,-,-
China Electronics Technology Group,1755.2,1774.3,1611.6,1637.0
Toshiba,9138.8,7256.8,-,-3832.0
Prudential,4014.7,3076.1,2592.8,3940.0
Commonwealth Bank of Australia,7228.0,7484.7,6712.9,7537.0
Bridgestone,2641.7,2571.0,2441.3,2349.0
China Electronics,350.3,166.8,321.9,176.0
GS Caltex,639.5,1272.2,1221.1,859.0
Sompo Holdings,1322.5,1262.0,1535.7,-
Sumitomo Life Insurance,435.3,630.3,517.5,551.0
Schlumberger,2138.0,-1505.0,-1687.0,2072.0
3M,5349.0,4858.0,5050.0,4833.0
AbbVie,5687.0,5309.0,5953.0,5144.0
Chubb,3962.0,3861.0,4135.0,-
CHS,775.9,127.9,424.2,781.0
British American Tobacco,8045.4,48327.8,-,-
Ansteel Group,-254.5,61.1,-,-
China Huadian,464.4,333.3,360.6,1213.0
Capital One Financial,6015.0,1982.0,3751.0,4050.0
AIA Group,2597.0,6120.0,4164.0,2691.0
Mazda Motor,572.5,1011.4,865.5,1120.0
Compal Electronics,295.7,189.0,252.1,274.0
Progressive,2615.3,1592.2,1031.0,-
DZ Bank,972.5,1078.7,1623.4,1571.0
Hyundai Mobis,1716.9,1387.3,2617.8,2702.0
CPC,1137.6,1324.9,-,-45.0
Coca-Cola,6434.0,1248.0,6527.0,7351.0
L'Oréal,4597.2,4037.0,3434.5,3658.0
CRH,2970.5,2136.1,1374.6,803.0
Bank of Nova Scotia,6642.5,6119.1,5362.2,5639.0
Johnson Controls International,2162.0,1611.0,-868.0,-
USAA,2291.9,2421.9,1779.1,2272.0
Air France-KLM Group,482.7,-308.9,875.8,131.0
Shougang Group,84.2,0.9,-,-320.0
Compass Group,1512.7,1470.2,1408.5,1342.0
Hewlett Packard Enterprise,1908.0,344.0,3161.0,-
BT Group,2833.1,2692.9,2484.6,3897.0
Inditex,4042.3,3840.1,3485.0,3171.0
Veolia Environnement,518.4,452.7,423.6,499.0
Abbott Laboratories,2368.0,477.0,-,-
Micron Technology,14135.0,-,-,-
PKN ORLEN Group,1539.1,1762.5,-,-
Schneider Electric,2754.5,2423.5,-,1561.0
Phoenix Pharma,-174.5,-,135.4,224.0
Travelers Cos.,2523.0,2056.0,3014.0,3439.0
Gree Electrical Appliances,3961.3,-,-,-
Coop Group,483.7,492.7,482.1,432.0
Northrop Grumman,3229.0,2015.0,2200.0,1990.0
Suncor Energy,2540.9,3435.1,-,-1561.0
Manulife Financial,3703.7,1621.2,2209.7,1714.0
