firma,2019,2018,2017,2016
Adecco Group,34000,34000,33000,32000
Randstad,38820,37930,32280,29750
LafargeHolcim,77055,81960,90903,100956
Haier Smart Home,87447,76896,-,-
INTL FCStone,1701,1607,-,1231
Anglo American,64000,69000,-,-
China Taiping Insurance Group,75341,77472,-,-
Mapfre Group,35390,36271,37020,38405
Chubu Electric Power,30321,30635,30635,30659
PBF Energy,3266,-,-,-
Cathay Life Insurance,38694,39822,36578,32296
Financière de l'Odet,81003,-,-,-
Australia &amp; New Zealand Banking Group,39924,44896,46554,50152
East Japan Railway,85718,86389,85834,86127
OMV Group,20231,-,-,24124
Raytheon,67000,64000,63000,61000
TongLing Nonferrous Metals Group,24848,-,-,-
Shanxi LuAn Mining Group,100637,95796,-,99739
CJ Corp.,64832,55424,-,-
Datong Coal Mine Group,156268,160836,162542,164365
Shanxi Coking Coal Group,199872,-,209817,218602
Nokia,103083,101731,102687,-
Heineken Holding,85610,80425,73525,73767
Xiaomi,16683,-,-,-
Yangquan Coal Industry Group,129150,135723,146236,155306
NEC,110595,111200,107729,98726
Fubon Financial Holding,45174,44173,-,-
Kraft Heinz,38000,39000,41000,-
Hailiang Group,19510,-,-,-
Flex,200000,200000,200000,-
Xinxing Cathay International Group,52024,56701,59429,64487
Emirates Group,60282,62356,64768,61205
Ceconomy,53954,135890,196540,203773
Michelin,111117,107807,105654,105798
National Australia Bank,33283,33422,34263,41826
Mondelez International,80000,83000,90000,99000
Adidas,57016,56888,-,-
Shanxi Jincheng Anthracite Coal Mining Group,128795,132846,135691,145890
Rabobank Group,41861,43810,40029,45658
Henan Energy &amp; Chemical,171334,182480,-,-
China General Technology,34752,-,38589,39829
U.S. Bancorp,75772,72402,71191,65433
Macy's,130000,130000,148300,157500
Fomento Económico Mexicano,297073,295097,-,-
Dollar General,135000,-,121000,-
LG Chem,33694,-,-,-
Onex,217000,207000,161000,144000
Formosa Petrochemical,5285,-,-,-
Safran,92639,-,-,-
Achmea,13714,14582,14921,15412
Rajesh Exports,383,350,328,358
Nucor,26300,-,-,-
Bank of Montreal,45454,-,-,-
Taikang Insurance Group,57406,52424,-,-
Ultrapar Holdings,17034,16448,15173,14597
Air Liquide,66000,-,-,-
